name,category,time.z5,time.z6,time.z4,time.z2,time.z3,time.z1,depth,rowSpacing,spacing,frost,sow,germination,maturity
Honesty,Flower,"Feb-Apr,Sep-Nov","Feb-Apr,Sep-Nov","Feb-May,Aug-Oct","Feb-May,Aug-Oct",Mar-Sep,Mar-Sep,6,,30-50,H,R,21-35,80-100
Impatiens,Flower,"Feb-Apr,Sep-Oct","Feb-Apr,Sep-Oct","Feb-May,Aug-Oct","Feb-May,Aug-Oct",Jan-Dec,Jan-Dec,5,,30-40,FT,R,14-21,80-100
Larkspur,Flower,"Feb-Apr,Sep-Oct","Feb-Apr,Sep-Oct",Feb-Jun,Feb-Jun,Apr-Jun,Apr-Jun,3,,30-40,H,D,10-21,140
Lavender,Flower,Sep-Nov,Sep-Nov,Sep-Nov,Sep-Nov,Sep-Nov,Sep-Nov,3,,50-70,H,R,18-28,365
Linaria,Flower,"Feb-Apr,Sep-Nov","Feb-Apr,Sep-Nov",Jan-May,Jan-May,Feb-Jun,Feb-Jun,3,,10-20,H,D,14-28,70
Livingstone Daisy,Flower,"Feb-Apr,Sep-Oct","Feb-Apr,Sep-Oct",Feb-May,Feb-May,Feb-May,Feb-May,3,,15,HH,R/D,14-28,140
Lobelia,Flower,"Feb-Apr,Sep-Oct","Feb-Apr,Sep-Oct",Feb-May,Feb-May,Feb-May,Feb-May,1,,15,HH,R,,100-120
Marigold - African,Flower,Sep-Dec,Sep-Dec,Jul-Dec,Jul-Dec,Jul-Feb,Jul-Feb,8-12,,20-40,FT,R/D,14-28,80-90
Nasturtium,Flower,Sep-Dec,Sep-Dec,Aug-Feb,Aug-Feb,Feb-Sep,Feb-Sep,10-15,,20-40,FT,D,14-21,70-80
Nigella,Flower,"Feb-Apr,Sep-Oct","Feb-Apr,Sep-Oct",Feb-May,Feb-May,Feb-Jun,Feb-Jun,3,,20-30,H,R/D,7-20,100
Pansy,Flower,"Jan-Apr,Sep-Oct","Jan-Apr,Sep-Oct",Jan-May,Jan-May,Feb-May,Feb-May,6,,25,H,R,10-20,110-120
Petunia,Flower,Sep-Dec,Sep-Dec,Aug-Dec,Aug-Dec,May-Sep,Mar-Sep,3,,25-40,HH,R,7-14,80-90
Phlox,Flower,Sep-Dec,Sep-Dec,Aug-Dec,Aug-Dec,May-Sep,Mar-Sep,3,,10-15,H,R/D,10-20,70
Poppy,Flower,Feb-Apr,Feb-Apr,Feb-Mar,Feb-Mar,Feb-Mar,Feb-Mar,3,,20-30,H,D,14-28,140-150
Snapdragon,Flower,"Feb-Apr,Sep-Dec","Feb-Apr,Sep-Dec","Feb-May,Aug-Oct","Feb-May,Aug-Oct",Feb-Sep,Feb-Sep,3,,30-40,H,R,14-28,110-120
Statice,Flower,"Feb-Apr,Sep-Oct","Feb-Apr,Sep-Oct",Feb-Sep,Feb-Sep,Mar-Jul,Mar-Jul,3,,40,H,D,14-28,140
Stock,Flower,Jan-Apr,Jan-Apr,Jan-May,Jan-May,Feb-Jun,Feb-Jun,3,,20-40,H,R,10-20,140
"Stock,Virginian",Flower,"Feb-Apr,Sep-Nov","Feb-Apr,Sep-Nov","Feb-May,Sep-Oct","Feb-May,Sep-Oct",Feb-Apr,Feb-Apr,6,,20,H,R/D,10-20,100-120
Sunflower,Flower,Sep-Dec,Sep-Dec,Aug-Dec,Aug-Dec,Aug-May,Jan-Dec,8-12,,20-60,H,R/D,6-21,80-100
Sweetpea,Flower,"Jan-Apr,Sep-Oct","Jan-Apr,Sep-Oct",Jan-May,Jan-May,Mar-May,Feb-May,10-20,,5-10,H,D,7-21,100
Verbena,Flower,Sep-Jan,Sep-Jan,Aug-Feb,Aug-Feb,Feb-Sep,Feb-Sep,6,,25-30,H,R/D,10-20,70
Viola,Flower,"Jan-Mar,Sep","Jan-Mar,Sep",Jan-May,Jan-May,Feb-May,Feb-May,6,,20,H,R,10-20,110-130
Wallflower,Flower,Jan-Apr,Jan-Apr,Jan-May,Jan-May,Feb-May,Feb-May,6,,20-30,H,R,14-21,180
Zinnia,Flower,Sep-Dec,Sep-Dec,Aug-Dec,Aug-Dec,Jul-Feb,Jan-Dec,6,,20-40,HH,R/D,6-21,100
